Iteration,Epsilon
0,1.00000000000000000000e+00
1,5.00000000000000000000e-01
2,2.50000000000000000000e-01
3,1.25000000000000000000e-01
4,6.25000000000000000000e-02
5,3.12500000000000000000e-02
6,1.56250000000000000000e-02
7,7.81250000000000000000e-03
8,3.90625000000000000000e-03
9,1.95312500000000000000e-03
10,9.76562500000000000000e-04
11,4.88281250000000000000e-04
12,2.44140625000000000000e-04
13,1.22070312500000000000e-04
14,6.10351562500000000000e-05
15,3.05175781250000000000e-05
16,1.52587890625000000000e-05
17,7.62939453125000000000e-06
18,3.81469726562500000000e-06
19,1.90734863281250000000e-06
20,9.53674316406250000000e-07
21,4.76837158203125000000e-07
22,2.38418579101562500000e-07
23,1.19209289550781250000e-07
24,5.96046447753906250000e-08
